person_id	type	persName	Qualité	Année de naissance	Année de décès	note type=def	note type=Mariette	BNF_URL	dataBnF	IDRef	VIAF	idno Wikidata	ISNI (ne semble pas comporter d'entrées absentes du VIAF)
CoEg_pers_00000211	contemp	Peyron, Bernardino	Orientaliste et bibliothécaire	1819	1903			https://catalogue.bnf.fr/ark:/12148/cb10481159p	https://data.bnf.fr/ark:/12148/cb10481159p	https://www.idref.fr/129399299	https://viaf.org/viaf/39366651	https://www.wikidata.org/wiki/Q3638726	
CoEg_pers_00000212	contemp	Reuvens, Caspar	Antiquaire	1793	1835			https://catalogue.bnf.fr/ark:/12148/cb12789876x	https://data.bnf.fr/ark:/12148/cb12789876x	https://www.idref.fr/081107226	https://viaf.org/viaf/90636159	https://www.wikidata.org/wiki/Q1863369	
CoEg_pers_00000213	hist	Ptolémée Ier Sôter	Roi égyptien	v. 368	283			https://catalogue.bnf.fr/ark:/12148/cb12473505d	https://data.bnf.fr/ark:/12148/cb12473505d	https://www.idref.fr/066982855	https://viaf.org/viaf/21347488/	https://www.wikidata.org/wiki/Q168261	
CoEg_pers_00000214	hist	Timothée l’interprète											
CoEg_pers_00000215	myth	Pluton	Dieu romain									https://www.wikidata.org/wiki/Q152262	
CoEg_pers_00000216	hist	Denys le Périégète	Écrivain grec	v. 115	v. 180			https://catalogue.bnf.fr/ark:/12148/cb121512771	https://data.bnf.fr/ark:/12148/cb121512771	https://www.idref.fr/03000764X	https://viaf.org/viaf/100902699	https://www.wikidata.org/wiki/Q1226993	
CoEg_pers_00000217	hist	Cyrille d’Alexandrie	Ecclésiastique	v. 375	444			https://catalogue.bnf.fr/ark:/12148/cb118983578	https://data.bnf.fr/ark:/12148/cb118983578	https://www.idref.fr/026808048	https://viaf.org/viaf/190218431/	https://www.wikidata.org/wiki/Q44079	
CoEg_pers_00000218	hist	Auguste	Empereur romain	63	14			https://catalogue.bnf.fr/ark:/12148/cb12326866z	https://data.bnf.fr/ark:/12148/cb12326866z	https://www.idref.fr/032190026	https://viaf.org/viaf/18013086/	https://www.wikidata.org/wiki/Q1405	
CoEg_pers_00000219	hist	Trajan	Empereur romain	53	117			https://catalogue.bnf.fr/ark:/12148/cb13164032k	https://data.bnf.fr/ark:/12148/cb13164032k	https://www.idref.fr/081821417	https://viaf.org/viaf/88067472/	https://www.wikidata.org/wiki/Q1425	
CoEg_pers_00000220	hist	Commode	Empereur romain	161	192			https://catalogue.bnf.fr/ark:/12148/cb14455354d	https://data.bnf.fr/ark:/12148/cb14455354d	https://www.idref.fr/061621293	https://viaf.org/viaf/23502412/	https://www.wikidata.org/wiki/Q1434	
CoEg_pers_00000221	hist	Gallien	Empereur romain	v. 218	268			https://catalogue.bnf.fr/ark:/12148/cb131627817	https://data.bnf.fr/ark:/12148/cb131627817	https://www.idref.fr/027381331	https://viaf.org/viaf/10637212/	https://www.wikidata.org/wiki/Q104475	
CoEg_pers_00000222	hist	Ptolémée VI Philométor	Roi égyptien (dynastie lagide)	186	145						https://viaf.org/viaf/67258070	https://www.wikidata.org/wiki/Q39952	
CoEg_pers_00000223	myth	Osorapis											
CoEg_pers_00000224	myth	Dionysos	Dieu grec							https://www.idref.fr/02739560X	https://viaf.org/viaf/10152079049807110114	https://www.wikidata.org/wiki/Q41680	
CoEg_pers_00000225	myth	Ounennéfer										https://www.wikidata.org/wiki/Q3358332	
CoEg_pers_00000226	contemp	Guigniaut, Joseph-Daniel	Helléniste	1794	1876			https://catalogue.bnf.fr/ark:/12148/cb13475757t	https://data.bnf.fr/ark:/12148/cb13475757t	https://www.idref.fr/03514484X	https://viaf.org/viaf/5080788	https://www.wikidata.org/wiki/Q3184217	
CoEg_pers_00000227	contemp	Burnouf, Jean Louis	Philologue	1755	1844			https://catalogue.bnf.fr/ark:/12148/cb11894608x	https://data.bnf.fr/ark:/12148/cb11894608x	https://www.idref.fr/026759845	https://viaf.org/viaf/31993809	https://www.wikidata.org/wiki/Q3166670	
CoEg_pers_00000228	hist	Nicocréon	Roi chypriote									https://www.wikidata.org/wiki/Q181585	
CoEg_pers_00000229	hist	Jamblique	Philosophe grec	v. 250	v. 330			https://catalogue.bnf.fr/ark:/12148/cb11908535t	https://data.bnf.fr/ark:/12148/cb11908535t	https://www.idref.fr/026934523	https://viaf.org/viaf/12310254/	https://www.wikidata.org/wiki/Q310916	
CoEg_pers_00000230	myth	Jéovah-Elohim	Dieu hébraïque								https://viaf.org/viaf/27863181	https://www.wikidata.org/wiki/Q105173	
CoEg_pers_00000231	hist	Plotin	Philosophe grec	205	270			https://catalogue.bnf.fr/ark:/12148/cb11887296f	https://data.bnf.fr/ark:/12148/cb11887296f	https://www.idref.fr/026668165	https://viaf.org/viaf/108386765/	https://www.wikidata.org/wiki/Q134189	
CoEg_pers_00000232	myth	Khnoum	Dieu égyptien					https://catalogue.bnf.fr/ark:/12148/cb17819771b	https://data.bnf.fr/ark:/12148/cb17819771b	https://www.idref.fr/24186478X		https://www.wikidata.org/wiki/Q183097	
