id	placeName	lat	lon	def	note type=Mariette	GeoName_URL	Pleiades_URL	TopBib_URL	TMGeo_URL	Wikidata_URL
CoEg_place_00000075	Vatican	41.90225 	12.4533 			https://www.geonames.org/3164670	https://pleiades.stoa.org/places/463398874 		https://www.trismegistos.org/place/30981	https://www.wikidata.org/wiki/Q237
CoEg_place_00000076	Cornouailles	50.41667 	-4.75 			https://www.geonames.org/2652355			https://www.trismegistos.org/place/45017	https://www.wikidata.org/wiki/Q23148
CoEg_place_00000077	Pont	40.68	37.83				https://pleiades.stoa.org/places/857287		https://www.trismegistos.org/place/1894	https://www.wikidata.org/wiki/Q621672
CoEg_place_00000078	Antioche	36.20655 	36.15722 				https://pleiades.stoa.org/places/658381		https://www.trismegistos.org/place/205	https://www.wikidata.org/wiki/Q200441
CoEg_place_00000079	Rosette	31.2400	30.2500	(رشيد [Rašīd])		https://www.geonames.org/350203		http://topbib.griffith.ox.ac.uk//dtb.html?topbib=401-060	www.trismegistos.org/place/2059 	https://www.wikidata.org/wiki/Q243699
CoEg_place_00000080	Sân	30.97478 	31.87231 	(صان الحجر [Ṣān al-Ḥaǧar])	Mariette utilise ordinairement simplement la forme « Sân »	https://www.geonames.org/349653	https://pleiades.stoa.org/places/727236 	http://topbib.griffith.ox.ac.uk//dtb.html?topbib=401-260	https://www.trismegistos.org/place/2252	
CoEg_place_00000081	Pays de Galles	52.3	-3.6			https://www.geonames.org/2634895			https://www.trismegistos.org/place/3322	https://www.wikidata.org/wiki/Q25
CoEg_place_00000082	Trieste	45.6941091	13.4665189			https://www.geonames.org/3165186	https://pleiades.stoa.org/places/187578 		https://www.trismegistos.org/place/12317	https://www.wikidata.org/wiki/Q546
CoEg_place_00000083	Milan	45.4007238	8.5669796			https://www.geonames.org/6542283	https://pleiades.stoa.org/places/383706		https://www.trismegistos.org/place/3308	https://www.wikidata.org/wiki/Q490
CoEg_place_00000084	Venise	45.4536547	11.9702428			https://www.geonames.org/6542284	https://pleiades.stoa.org/places/818739154		https://www.trismegistos.org/place/12283	https://www.wikidata.org/wiki/Q641
CoEg_place_00000085	Munich	48.1548252	11.4014054			https://www.geonames.org/2867714			https://www.trismegistos.org/place/20089	https://www.wikidata.org/wiki/Q1726
CoEg_place_00000086	Vienne	48.2205994	16.2396296			https://www.geonames.org/2761369	https://pleiades.stoa.org/places/128537	http://topbib.griffith.ox.ac.uk//dtb.html?topbib=704-020-120-010	https://www.trismegistos.org/place/28821	https://www.wikidata.org/wiki/Q1741
CoEg_place_00000087	Prague	50.0593308	14.1847426			https://www.geonames.org/3067696	https://pleiades.stoa.org/places/118913		https://www.trismegistos.org/place/46886	https://www.wikidata.org/wiki/Q1085
CoEg_place_00000088	Malte	35.9421228	14.0974563			https://www.geonames.org/2562772	https://pleiades.stoa.org/places/462311	http://topbib.griffith.ox.ac.uk//dtb.html?topbib=704-020-090-040	https://www.trismegistos.org/place/1339	https://www.wikidata.org/wiki/Q193896
CoEg_place_00000089	Tuileries, palais des	48.862264	2.3298964							https://www.wikidata.org/wiki/Q234364
CoEg_place_00000090	Esbékieh	30.056111111111	31.246944444444	(أزبكية [Azbakīyah])						https://www.wikidata.org/wiki/Q2063168
CoEg_place_00000091	Rennes	48.1158942	-1.7584942			https://www.geonames.org/2983990	https://pleiades.stoa.org/places/69491		https://www.trismegistos.org/place/24139	https://www.wikidata.org/wiki/Q647
CoEg_place_00000092	Constantinople	41.0049806	28.7312898			https://www.geonames.org/745044	https://pleiades.stoa.org/places/520998	http://topbib.griffith.ox.ac.uk//dtb.html?topbib=704-020-060-130	https://www.trismegistos.org/place/478	https://www.wikidata.org/wiki/Q406
CoEg_place_00000093	Dendérah	26.1661	32.6464167	(دندرة [Dandarah])		https://www.geonames.org/358422	https://pleiades.stoa.org/places/786127		https://www.trismegistos.org/place/2312	https://www.wikidata.org/wiki/Q29019
CoEg_place_00000094	Abyssinie	0	0							https://www.wikidata.org/wiki/Q7007824
CoEg_place_00000095	Assouan	24.09082 	32.89942 	(أسوان [Aswān])		https://www.geonames.org/359792		http://topbib.griffith.ox.ac.uk//dtb.html?topbib=507	https://www.trismegistos.org/place/2207	https://www.wikidata.org/wiki/Q29888
CoEg_place_00000096	Auteuil	0	0							https://www.wikidata.org/wiki/Q18199480
CoEg_place_00000097	Versailles	48.80359 	2.13424 			https://www.geonames.org/2969679				https://www.wikidata.org/wiki/Q621
CoEg_place_00000098	Champ-de-Mars	48.85613 	2.29803 			https://www.geonames.org/6269529				https://www.wikidata.org/wiki/Q217925
CoEg_place_00000099	Place Vendôme	48.86746 	2.32946 			https://www.geonames.org/6452724				https://www.wikidata.org/wiki/Q643520
CoEg_place_00000100	Vichy	46.12709 	3.42577 			https://www.geonames.org/2969392	https://pleiades.stoa.org/places/138186		https://www.trismegistos.org/place/22750	https://www.wikidata.org/wiki/Q93351
CoEg_place_00000101	pont d'Iéna	48.85976 	2.29204 			https://www.geonames.org/8426612				https://www.wikidata.org/wiki/Q540781
