id	Translittération	Traduction	note	note type="Mariette"	URL TLA	URL AVW
CoEg_aeg_00000024	Wsꞽr	Osiris			http://aaew.bbaw.de/tla/servlet/GetWcnDetails?u=guest&f=0&l=0&wn=49460&db=0	http://awv.informatik.uni-leipzig.de/awv/links?word=49460
CoEg_aeg_00000025	ꜥꜣ	grand			http://aaew.bbaw.de/tla/servlet/GetWcnDetails?u=guest&f=0&l=0&wn=450158&db=0	http://awv.informatik.uni-leipzig.de/awv/links?word=450158
CoEg_aeg_00000026	ꜣbd	mois			http://aaew.bbaw.de/tla/servlet/GetWcnDetails?u=guest&f=0&l=0&wn=93&db=0	http://awv.informatik.uni-leipzig.de/awv/links?word=93
CoEg_aeg_00000027	wꜥ	unique			http://aaew.bbaw.de/tla/servlet/GetWcnDetails?u=guest&f=0&l=0&wn=44150&db=0	http://awv.informatik.uni-leipzig.de/awv/links?word=44150
CoEg_aeg_00000028	ḫpr	advenir			http://aaew.bbaw.de/tla/servlet/GetWcnDetails?u=guest&f=0&l=0&wn=854383&db=0	http://awv.informatik.uni-leipzig.de/awv/links?word=854383
CoEg_aeg_00000029	ḥꜣt	avant			http://aaew.bbaw.de/tla/servlet/GetWcnDetails?u=guest&f=0&l=0&wn=100310&db=0	http://awv.informatik.uni-leipzig.de/awv/links?word=100310
CoEg_aeg_00000030	psḏt	Ennéade			http://aaew.bbaw.de/tla/servlet/GetWcnDetails?u=guest&f=0&l=0&wn=62500&db=0	http://awv.informatik.uni-leipzig.de/awv/links?word=62500
CoEg_aeg_00000031	ḫnty	qui préside à			http://aaew.bbaw.de/tla/servlet/GetWcnDetails?u=guest&f=0&l=0&wn=119130&db=0	http://awv.informatik.uni-leipzig.de/awv/links?word=119130
CoEg_aeg_00000032	r	vers, contre			http://aaew.bbaw.de/tla/servlet/GetWcnDetails?u=guest&f=0&l=0&wn=91900&db=0	http://awv.informatik.uni-leipzig.de/awv/links?word=91900
CoEg_aeg_00000033	Ḥwt-šd-ꜣbd	Hout-ched-abed			http://aaew.bbaw.de/tla/servlet/GetWcnDetails?u=guest&f=0&l=0&wn=&db=0	http://awv.informatik.uni-leipzig.de/awv/links?word=
CoEg_aeg_00000034	m-ḫt	après			http://aaew.bbaw.de/tla/servlet/GetWcnDetails?u=guest&f=0&l=0&wn=65300&db=0	http://awv.informatik.uni-leipzig.de/awv/links?word=65300
CoEg_aeg_00000035	pẖr	parcourir			http://aaew.bbaw.de/tla/servlet/GetWcnDetails?u=guest&f=0&l=0&wn=61900&db=0	http://awv.informatik.uni-leipzig.de/awv/links?word=61900
CoEg_aeg_00000036	ꞽnt	vallée			http://aaew.bbaw.de/tla/servlet/GetWcnDetails?u=guest&f=0&l=0&wn=26780&db=0	http://awv.informatik.uni-leipzig.de/awv/links?word=26780
